Link,Name,Restaurant ID,Rating,No. of Votes,Address,Cuisine,Cost for Two
https://www.zomato.com/kolkata/leaky-cauldron-1-garia,Leaky Cauldron Kolkata,19089531,NEW,0,"Plot 121, Baroda Avenue, Near Indian Oil Petrol Pump, Baishnabghata Patuli, Garia, Kolkata","North Indian, Chinese, Continental","₹1,000"
https://www.zomato.com/kolkata/shawarma-nation-1-behala,Shawarma Nation Kolkata,18950586,3.3,12,"P 20, Nabalia Para Road, Behala, Kolkata","Lebanese, Middle Eastern, Healthy Food",₹350 
https://www.zomato.com/kolkata/food-junction-2-kalyani,Food Junction Kolkata,19110775,NEW,0,"4th Floor, 32 Kabi Guru Rabindra Path (N), Khadim Khazana, Kanchrapara, Ward 5, Kalyani, Kolkata","North Indian, Chinese, Mughlai",₹500 
https://www.zomato.com/kolkata/the-shack-sector-5-salt-lake,The Shack Kolkata,25386,3.5,89,"Plot A3, EP & GP Block, Bytes Food Court, Infinity Benchmark, Sector 5, Salt Lake, Kolkata",Fast Food,₹450 
https://www.zomato.com/kolkata/8th-day-cafe-bakery-park-circus-area,8th Day Cafe & Bakery Kolkata,24874,4.1,972,"Arcadia, 6, West Range, Mullick Bazar, Park Circus Area, Kolkata","Cafe, Desserts",₹600 
https://www.zomato.com/kolkata/hot-kettle-barrackpore,Hot Kettle Kolkata,18545062,3.7,243,"72/30, Ghosh Para Road, Lalkuthi Complex, Near Lalkuthi Petrol Pump, Barrackpore, Kolkata","Continental, Chinese, Italian, Burger, Fast Food, Beverages",₹400 
https://www.zomato.com/kolkata/mama-mia-liluah-howrah,Mama Mia! Howrah,18801843,-,0,"Sadananda Industrial Estate Balitikuri, Bakultala Howrah, Near Liluah, Howrah","Desserts, Beverages, Bakery",₹350 
https://www.zomato.com/kolkata/the-victoria-tram-car-restaurant-taltala,The Victoria Tram Car Restaurant Kolkata,18809699,2.5,136,"Sahid Minar, Near Esplanade.","Bengali, North Indian, Chinese",-
https://www.zomato.com/kolkata/momzters-healthy-bakes-alipore,Momzter's Healthy Bakes Kolkata,18997652,3.7,51,"10A, Alipore Park Place, Alipore, Kolkata",Bakery,₹250 
https://www.zomato.com/kolkata/snack-shack-park-circus-area,Snack Shack Kolkata,18703754,-,0,"209, 6th Floor, Karnani Estate, AJC Bose Road, Park Circus Area, Kolkata",Fast Food,₹300 
https://www.zomato.com/kolkata/chat-pata-kankurgachi,Chat Pata Kolkata,18213984,3.2,6,"4th Floor, Pantaloons, 33/1A, Upendra Chandra Banerjee Road, Kankurgachi, Kolkata",Street Food,₹300 
https://www.zomato.com/kolkata/ahuna-new-town,Ahuna Kolkata,19127155,NEW,0,"Shop NRSH 207, 2nd Floor, DFL Newtown Heights Plaza, Action Area 3, Akandakeshri, New Town, Kolkata",North Indian,₹500 
https://www.zomato.com/kolkata/twins-kitchen-tollygunge,Twin's Kitchen Kolkata,18818168,3.2,19,"Shop 57, 325/4, Tilottama, MG Road, Tollygunge, Kolkata","Chinese, North Indian",₹350 
https://www.zomato.com/kolkata/hanglaatherium-prince-anwar-shah-road,Hanglaatherium Kolkata,24794,4.1,2574,"188/3/1A, Prince Anwar Shah Road, Near Sanghati Park, Prince Anwar Shah Road, Kolkata","Biryani, North Indian, Mughlai",₹600 
https://www.zomato.com/kolkata/firangi-bake-new-town,Firangi Bake Kolkata,19130049,NEW,0,"Ghoshdutta Para, Hatira, New Town, Kolkata","Mexican, Italian",₹600 
https://www.zomato.com/kolkata/orchid-hotel-restaurant-barrackpore,Orchid Hotel & Restaurant Kolkata,24196,3.2,56,"123/1, Ghoshpara Road, Ghushipara, Barrackpore, Kolkata","North Indian, Chinese",₹600 
https://www.zomato.com/kolkata/olive-and-thyme-dhakuria,Olive and Thyme Kolkata,18888803,-,0,"109/1A, Sarat Ghosh Garden Road, Dhakuria, Kolkata","Continental, Chinese, North Indian",₹450 
https://www.zomato.com/kolkata/sinful-indulgence-sector-1-salt-lake,Sinful Indulgence Kolkata,18440908,3.1,4,"The Residency, Flat R301, City Center 1, DC Block,  Sector 1, Salt Lake","Bakery, Desserts",₹350 
https://www.zomato.com/kolkata/the-guptas-camac-street-area,The Guptas Kolkata,20543,3.9,286,"26, Shakespeare Sarani, Camac Street Area, Kolkata","North Indian, South Indian, Chinese, Fast Food, Italian",₹600 
https://www.zomato.com/kolkata/pappu-chaiwalla-sector-1-salt-lake,Pappu Chaiwalla Kolkata,18452220,3.7,170,"DB 7, Sector 1, Salt Lake, Kolkata","Chinese, North Indian, Fast Food, Beverages",₹400 
https://www.zomato.com/kolkata/laskar-biriyani-house-new-town,Laskar Biriyani House Kolkata,24203,3.1,9,"Stall Number 11, New Town Bus Terminus, New Town, Kolkata","Biryani, Chinese",₹250 
https://www.zomato.com/kolkata/falooda-junction-chinar-park,Falooda Junction Kolkata,19112761,NEW,0,"Rajarhat Road, Atghara, Near Bandhan Bank, Chinar Park, Kolkata","Beverages, Desserts",₹200 
https://www.zomato.com/kolkata/samosa-time-garia,Samosa Time Kolkata,18717609,3.8,60,"R-135, Near Kavi Najrul Metro Station, Purbapara, Kamdahari, Garia, Kolkata","Fast Food, Street Food",₹300 
https://www.zomato.com/kolkata/bharadwaj-restaurant-1-belghoria,Bharadwaj Restaurant Kolkata,18898210,3.2,8,"69/2, DD Mondal Ghat Road, Dakshineswar, Near Belghoria, Kolkata","Chinese, North Indian",₹200 
https://www.zomato.com/kolkata/bengal-hot-food-garia,Bengal Hot Food Kolkata,19056629,-,0,"28, Beside Patuli Petrol Pump, Garia, Kolkata","Bengali, North Indian",₹200 
https://www.zomato.com/kolkata/master-of-momos-shyam-bazar,Master Of Momos Kolkata,19029322,2.9,6,"2A, Arham Guest House, Nayan Krishna Shah Lane, Bagh Bazar, Shyam Bazar, Kolkata",Momos,₹150 
https://www.zomato.com/kolkata/subway-kaikhali,Subway Kolkata,18452207,3.8,127,"Ground Floor, PS Magnum, Dakhin Mart, Kaikhali, Kolkata","Fast Food, Healthy Food, Sandwich, Salad",₹500 
https://www.zomato.com/kolkata/renuka-snacks-nagerbazar,Renuka Snacks Kolkata,22614,2.4,122,"58, Nagerbazar, Kolkata","Chinese, North Indian",₹400 
https://www.zomato.com/kolkata/sufi-foods-zone-topsia,Sufi Foods Zone Kolkata,18933131,3.6,27,"32 G.J. Khan Road, Topsia, Kolkata",Biryani,₹200 
https://www.zomato.com/kolkata/fryde-cafe-belghoria,FryDe Cafe Kolkata,19119892,NEW,0,"4/29, New Rathtala, Belghoria, Kolkata","Italian, Mexican",₹400 
https://www.zomato.com/kolkata/taj-biriyani-andul-road-howrah,Taj Biriyani Howrah,18558819,3.2,13,"2, Andul Road, Andul Mauri, Andul Road, Howrah",Biryani,₹300 
